benchmark_version	semantic_scope	steps	seed_step_index	incoming_divisor	first_carry_runtime_step	first_carry_instruction	first_carry_pc	first_carry_raw_acc	max_abs_raw_acc	execution_surface_supports_seed	note
stwo-phase12-arithmetic-budget-map-v1	phase12_default_seed_arithmetic_headroom_map	1	0	1					1288	true	compiled Phase12 runtime stayed carry-free for this seed under the default incoming magnitudes
stwo-phase12-arithmetic-budget-map-v1	phase12_default_seed_arithmetic_headroom_map	2	0	1					1288	true	compiled Phase12 runtime stayed carry-free for this seed under the default incoming magnitudes
stwo-phase12-arithmetic-budget-map-v1	phase12_default_seed_arithmetic_headroom_map	2	1	1					7304	true	compiled Phase12 runtime stayed carry-free for this seed under the default incoming magnitudes
stwo-phase12-arithmetic-budget-map-v1	phase12_default_seed_arithmetic_headroom_map	3	0	1					1288	true	compiled Phase12 runtime stayed carry-free for this seed under the default incoming magnitudes
stwo-phase12-arithmetic-budget-map-v1	phase12_default_seed_arithmetic_headroom_map	3	1	1					7304	true	compiled Phase12 runtime stayed carry-free for this seed under the default incoming magnitudes
stwo-phase12-arithmetic-budget-map-v1	phase12_default_seed_arithmetic_headroom_map	3	2	1					6536	true	compiled Phase12 runtime stayed carry-free for this seed under the default incoming magnitudes
stwo-phase12-arithmetic-budget-map-v1	phase12_default_seed_arithmetic_headroom_map	4	0	1					1288	true	compiled Phase12 runtime stayed carry-free for this seed under the default incoming magnitudes
stwo-phase12-arithmetic-budget-map-v1	phase12_default_seed_arithmetic_headroom_map	4	1	1					7304	true	compiled Phase12 runtime stayed carry-free for this seed under the default incoming magnitudes
stwo-phase12-arithmetic-budget-map-v1	phase12_default_seed_arithmetic_headroom_map	4	2	1					6536	true	compiled Phase12 runtime stayed carry-free for this seed under the default incoming magnitudes
stwo-phase12-arithmetic-budget-map-v1	phase12_default_seed_arithmetic_headroom_map	4	3	1	45	MulMemory(28)	44	87872	180864	false	first carry at runtime step 45 on MulMemory(28); the current execution-proof surface will reject this seed before proving
stwo-phase12-arithmetic-budget-map-v1	phase12_default_seed_arithmetic_headroom_map	5	0	1					1288	true	compiled Phase12 runtime stayed carry-free for this seed under the default incoming magnitudes
stwo-phase12-arithmetic-budget-map-v1	phase12_default_seed_arithmetic_headroom_map	5	1	1					7304	true	compiled Phase12 runtime stayed carry-free for this seed under the default incoming magnitudes
stwo-phase12-arithmetic-budget-map-v1	phase12_default_seed_arithmetic_headroom_map	5	2	1					6536	true	compiled Phase12 runtime stayed carry-free for this seed under the default incoming magnitudes
stwo-phase12-arithmetic-budget-map-v1	phase12_default_seed_arithmetic_headroom_map	5	3	1	45	MulMemory(28)	44	87872	180864	false	first carry at runtime step 45 on MulMemory(28); the current execution-proof surface will reject this seed before proving
stwo-phase12-arithmetic-budget-map-v1	phase12_default_seed_arithmetic_headroom_map	5	4	1	13	MulMemory(15)	12	44688	2659456	false	first carry at runtime step 13 on MulMemory(15); the current execution-proof surface will reject this seed before proving
stwo-phase12-arithmetic-budget-map-v1	phase12_default_seed_arithmetic_headroom_map	6	0	1					1288	true	compiled Phase12 runtime stayed carry-free for this seed under the default incoming magnitudes
stwo-phase12-arithmetic-budget-map-v1	phase12_default_seed_arithmetic_headroom_map	6	1	1					7304	true	compiled Phase12 runtime stayed carry-free for this seed under the default incoming magnitudes
stwo-phase12-arithmetic-budget-map-v1	phase12_default_seed_arithmetic_headroom_map	6	2	1					6536	true	compiled Phase12 runtime stayed carry-free for this seed under the default incoming magnitudes
stwo-phase12-arithmetic-budget-map-v1	phase12_default_seed_arithmetic_headroom_map	6	3	1	45	MulMemory(28)	44	87872	180864	false	first carry at runtime step 45 on MulMemory(28); the current execution-proof surface will reject this seed before proving
stwo-phase12-arithmetic-budget-map-v1	phase12_default_seed_arithmetic_headroom_map	6	4	1	13	MulMemory(15)	12	44688	2659456	false	first carry at runtime step 13 on MulMemory(15); the current execution-proof surface will reject this seed before proving
stwo-phase12-arithmetic-budget-map-v1	phase12_default_seed_arithmetic_headroom_map	6	5	1					22344	true	compiled Phase12 runtime stayed carry-free for this seed under the default incoming magnitudes
