system	proof_system_axis	status	evidence_level	public_proof_artifact_available	public_verifier_input_available	baseline_verification_reproducible	metadata_mutation_reproducible	recommended_use	blocked_metric	next_action
EZKL	SNARK/Halo2-KZG ONNX adapter	EMPIRICAL_STATEMENT_ADAPTER_ROW	local_empirical_adapter	true	true	true	true	empirical statement-envelope adapter row; not a performance comparator	matched transformer-block performance	keep as adapter baseline; do not call proof-only relabeling an EZKL bug
snarkjs	SNARK/Groth16 Circom adapter	EMPIRICAL_STATEMENT_ADAPTER_ROW	local_empirical_adapter	true	true	true	true	empirical statement-envelope adapter row; proof-system-independent binding evidence	matched transformer-block performance	keep as second external adapter for proof-system independence
JSTprove/Remainder	GKR/sum-check adapter	EMPIRICAL_STATEMENT_ADAPTER_ROW	local_empirical_adapter	true	true	true	true	empirical statement-envelope adapter row for GKR/sum-check shaped proofs	matched transformer-block performance	extend only if a transformer-adjacent fixture clears the same adapter bar
native Stwo d128 receipt	Stwo-native statement-bound transformer receipt	LOCAL_STATEMENT_RECEIPT_ONLY	local_receipt_composition	true	true	true	true	local statement-bound receipt and accumulator evidence; not external SOTA row	recursive proof size, recursive verifier time, and proof-generation time	work issue #420 for executable two-slice recursive or PCD backend
DeepProve-1	SNARK-side model-scale LLM proving	SOURCE_BACKED_MODEL_SCALE_CONTEXT_ONLY	source_backed_context	false	false	false	false	source-backed model-scale context only; do not use as empirical adapter row	metadata relabeling result and matched verifier-time row	revisit when public proof bytes, verifier inputs, and model/input/output commitments are released
NANOZK	layerwise LLM proof / compact verifier-facing object	SOURCE_BACKED_COMPACT_CALIBRATION_ONLY	source_backed_context	false	false	false	false	source-backed compact-object calibration only; not a matched local benchmark	adapter row and matched d128 proof benchmark	revisit if a public NANOZK verifier, proof bundle, and verifier inputs are published
Jolt Atlas	lookup-centric SNARK / ONNX and transformer-shaped workloads	SOURCE_BACKED_MODEL_SCALE_CONTEXT_ONLY	source_backed_context	false	false	false	false	source-backed architecture context until proof/verifier bundles are reproducible	matched ONNX/GPT adapter row	track whether public artifacts expose proof, public inputs, model identity, and verifier route
Giza/LuminAIR	STARK-native graph-to-AIR path	SOURCE_BACKED_CONTEXT_ONLY	source_backed_context	false	false	false	false	source-backed STARK-native architecture context	matched graph proof adapter row	revisit if public proof artifacts and verifier-input bundles become available
Obelyzk	STARK-native recursive/onchain settlement calibration	DEPLOYMENT_CALIBRATION_ONLY	source_backed_deployment_calibration	false	false	false	false	deployment calibration only; not local verifier-time comparison	matched local verifier-time row	keep pinned contract/tx context; only upgrade after live replay or local verifier route is reproducible
RISC Zero	zkVM receipt and public journal model	ZKVM_RECEIPT_WATCHLIST	watchlist_context	false	false	false	false	watchlist for agent/action receipts and public-output binding, not zkML throughput row	matched model/action receipt adapter row	track issue #422; open a fixture only if a matched public-values contract and model workload are pinned
SP1	zkVM receipt and public-values model	ZKVM_RECEIPT_WATCHLIST	watchlist_context	false	false	false	false	watchlist for statement/action receipt binding, not zkML throughput row	matched model/action receipt adapter row	track issue #422; test only after pinning public values, verifying key, proof, and model/action statement fields
SNIP-36	Starknet protocol-native proof verification interface	SETTLEMENT_API_WATCHLIST	spec_context	false	false	false	false	settlement API watchlist; park until a local proof-facts adapter exists	local Starknet transaction hash and onchain proof-facts acceptance	defer until local proof objects can be expressed as protocol-native proof_facts
