mutation	surface	baseline_result	mutated_accepted	rejected	rejection_layer	error
source_feasibility_path_drift	source_aggregation_evidence	BOUNDED_NO_GO	False	True	source_aggregation_evidence	source aggregation evidence path mismatch
source_feasibility_file_hash_drift	source_aggregation_evidence	BOUNDED_NO_GO	False	True	source_aggregation_evidence	source aggregation file_sha256 mismatch
source_feasibility_payload_hash_drift	source_aggregation_evidence	BOUNDED_NO_GO	False	True	source_aggregation_evidence	source aggregation payload_sha256 mismatch
source_feasibility_result_drift	source_aggregation_evidence	BOUNDED_NO_GO	False	True	source_aggregation_evidence	source aggregation result mismatch
source_aggregation_target_commitment_drift	two_slice_target	BOUNDED_NO_GO	False	True	two_slice_target	two-slice target manifest mismatch
block_receipt_commitment_drift	two_slice_target	BOUNDED_NO_GO	False	True	two_slice_target	two-slice target manifest mismatch
statement_commitment_drift	two_slice_target	BOUNDED_NO_GO	False	True	two_slice_target	two-slice target manifest mismatch
selected_slice_chain_commitment_drift	two_slice_target	BOUNDED_NO_GO	False	True	two_slice_target	two-slice target manifest mismatch
two_slice_target_commitment_drift	two_slice_target_commitment	BOUNDED_NO_GO	False	True	two_slice_target_commitment	two-slice target commitment mismatch
selected_slice_removed	two_slice_target	BOUNDED_NO_GO	False	True	two_slice_target	two-slice target manifest mismatch
selected_slice_duplicated	two_slice_target	BOUNDED_NO_GO	False	True	two_slice_target	two-slice target manifest mismatch
selected_slice_reordered	two_slice_target	BOUNDED_NO_GO	False	True	two_slice_target	two-slice target manifest mismatch
selected_slice_source_file_hash_drift	two_slice_target	BOUNDED_NO_GO	False	True	two_slice_target	two-slice target manifest mismatch
selected_slice_source_payload_hash_drift	two_slice_target	BOUNDED_NO_GO	False	True	two_slice_target	two-slice target manifest mismatch
selected_slice_statement_commitment_drift	two_slice_target	BOUNDED_NO_GO	False	True	two_slice_target	two-slice target manifest mismatch
selected_slice_public_instance_commitment_drift	two_slice_target	BOUNDED_NO_GO	False	True	two_slice_target	two-slice target manifest mismatch
selected_slice_proof_parameter_commitment_drift	two_slice_target	BOUNDED_NO_GO	False	True	two_slice_target	two-slice target manifest mismatch
selected_slice_row_count_drift	two_slice_target	BOUNDED_NO_GO	False	True	two_slice_target	two-slice target manifest mismatch
selected_checked_rows_drift	two_slice_target	BOUNDED_NO_GO	False	True	two_slice_target	two-slice target manifest mismatch
candidate_inventory_acceptance_relabel	candidate_inventory	BOUNDED_NO_GO	False	True	candidate_inventory	candidate inventory mismatch
candidate_inventory_file_sha256_tampered	candidate_inventory	BOUNDED_NO_GO	False	True	candidate_inventory	candidate inventory mismatch
candidate_inventory_required_artifact_removed	candidate_inventory	BOUNDED_NO_GO	False	True	candidate_inventory	candidate inventory mismatch
outer_proof_claimed_without_artifact	proof_object_attempt	BOUNDED_NO_GO	False	True	proof_object_attempt	outer_proof_object_claimed claimed without checked two-slice outer proof object
pcd_claimed_without_artifact	proof_object_attempt	BOUNDED_NO_GO	False	True	proof_object_attempt	pcd_accumulator_claimed claimed without checked two-slice outer proof object
verifier_handle_claimed_without_artifact	proof_object_attempt	BOUNDED_NO_GO	False	True	proof_object_attempt	verifier_handle_claimed claimed without checked two-slice outer proof object
go_criterion_drift	proof_object_attempt	BOUNDED_NO_GO	False	True	proof_object_attempt	go criterion mismatch
target_public_input_claimed_without_proof	proof_object_attempt	BOUNDED_NO_GO	False	True	proof_object_attempt	two_slice_target_commitment_bound_as_public_input claimed without checked two-slice outer proof object
selected_statements_claimed_without_proof	proof_object_attempt	BOUNDED_NO_GO	False	True	proof_object_attempt	selected_slice_statements_bound claimed without checked two-slice outer proof object
selected_source_hashes_claimed_without_proof	proof_object_attempt	BOUNDED_NO_GO	False	True	proof_object_attempt	selected_source_evidence_hashes_bound claimed without checked two-slice outer proof object
proof_size_metric_smuggled_before_proof	proof_object_attempt	BOUNDED_NO_GO	False	True	proof_object_attempt	proof metric smuggled before proof object exists
verifier_time_metric_smuggled_before_proof	proof_object_attempt	BOUNDED_NO_GO	False	True	proof_object_attempt	proof metric smuggled before proof object exists
proof_generation_time_metric_smuggled_before_proof	proof_object_attempt	BOUNDED_NO_GO	False	True	proof_object_attempt	proof metric smuggled before proof object exists
blocked_before_metrics_disabled	proof_object_attempt	BOUNDED_NO_GO	False	True	proof_object_attempt	proof attempt must be blocked before metrics
first_blocker_removed	proof_object_attempt	BOUNDED_NO_GO	False	True	proof_object_attempt	first blocker mismatch
missing_backend_feature_removed	proof_object_attempt	BOUNDED_NO_GO	False	True	proof_object_attempt	missing backend features mismatch
outer_proof_result_changed_to_go	parser_or_schema	BOUNDED_NO_GO	False	True	parser_or_schema	outer proof-object result mismatch
decision_changed_to_go	parser_or_schema	BOUNDED_NO_GO	False	True	parser_or_schema	decision mismatch
result_changed_to_go	parser_or_schema	BOUNDED_NO_GO	False	True	parser_or_schema	result mismatch
non_claims_removed	parser_or_schema	BOUNDED_NO_GO	False	True	parser_or_schema	non-claims mismatch
validation_command_drift	parser_or_schema	BOUNDED_NO_GO	False	True	parser_or_schema	validation commands mismatch
