mutation	surface	baseline_accepted	mutated_accepted	rejected	rejection_layer	error
accounted_relation_rows_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
activation_lookup_rows_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
artifacts_map_drift	artifact_binding	True	False	True	artifact_binding	receipt artifacts map mismatch
block_statement_commitment_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
circuit_artifact_hash_relabeling	artifact_binding	True	False	True	artifact_binding	circuit_artifact_sha256 mismatch
compressed_artifact_commitment_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
compression_payload_commitment_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
derived_hidden_activation_commitment_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
derived_input_activation_commitment_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
derived_output_activation_commitment_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
derived_residual_delta_commitment_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
down_projection_mul_rows_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
embedded_proof_relabeling	artifact_binding	True	False	True	artifact_binding	embedded proof artifact mismatch
embedded_public_signals_relabeling	artifact_binding	True	False	True	artifact_binding	embedded public signals artifact mismatch
embedded_vk_relabeling	artifact_binding	True	False	True	artifact_binding	embedded verification key artifact mismatch
field_entry_label_relabeling	public_signal_binding	True	False	True	statement_policy	public_signal_field_entries mismatch
field_entry_value_relabeling	public_signal_binding	True	False	True	statement_policy	public_signal_field_entries mismatch
input_artifact_hash_relabeling	artifact_binding	True	False	True	artifact_binding	input_artifact_sha256 mismatch
input_contract_commitment_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
input_payload_drift	artifact_binding	True	False	True	artifact_binding	receipt input payload mismatch
non_claims_removed	parser_or_schema	True	False	True	parser_or_schema	non claims mismatch
projection_mul_rows_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
proof_generation_time_metric_smuggled	receipt_metrics	True	False	True	parser_or_schema	receipt keys mismatch: missing=[] extra=['receipt_metrics']
proof_hash_relabeling	artifact_binding	True	False	True	artifact_binding	proof hash mismatch
proof_size_metric_smuggled	receipt_metrics	True	False	True	parser_or_schema	receipt keys mismatch: missing=[] extra=['receipt_metrics']
public_signal_hash_relabeling	public_signal_binding	True	False	True	public_signal_binding	public signals hash mismatch
public_signal_relabeling	public_signal_binding	True	False	True	artifact_binding	embedded public signals artifact mismatch
receipt_commitment_relabeling	receipt_commitment	True	False	True	receipt_commitment	receipt_commitment mismatch
residual_add_rows_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
setup_commitment_relabeling	setup_binding	True	False	True	setup_binding	setup commitment mismatch
source_attention_outputs_commitment_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
source_payload_commitment_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
statement_commitment_relabeling	statement_commitment	True	False	True	statement_commitment	statement_commitment mismatch
unknown_statement_field_added	parser_or_schema	True	False	True	parser_or_schema	statement keys mismatch: missing=[] extra=['unexpected']
unknown_top_level_field_added	parser_or_schema	True	False	True	parser_or_schema	receipt keys mismatch: missing=[] extra=['unexpected']
validation_command_drift	parser_or_schema	True	False	True	parser_or_schema	receipt keys mismatch: missing=[] extra=['validation_commands']
verification_key_file_hash_relabeling	artifact_binding	True	False	True	artifact_binding	verification_key_file_sha256 mismatch
verification_key_hash_relabeling	artifact_binding	True	False	True	artifact_binding	verification key canonical hash mismatch
verifier_handle_commitment_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
verifier_time_metric_smuggled	receipt_metrics	True	False	True	parser_or_schema	receipt keys mismatch: missing=[] extra=['receipt_metrics']
