configuration	context_t	component	value_raw
GPT-2 small T=1024	1024	snark_arithmetic	8859942912
GPT-2 small T=1024	1024	snark_softmax	3774873600
GPT-2 small T=1024	1024	snark_norm	47185920
GPT-2 small T=1024	1024	snark_nonlin	471859200
GPT-2 small T=1024	1024	stark_arithmetic	8859942912
GPT-2 small T=1024	1024	stark_softmax	12582912
GPT-2 small T=1024	1024	stark_norm	1572864
GPT-2 small T=1024	1024	stark_nonlin	3145728
GPT-2 small T=4096	4096	snark_arithmetic	54767124480
GPT-2 small T=4096	4096	snark_softmax	60397977600
GPT-2 small T=4096	4096	snark_norm	188743680
GPT-2 small T=4096	4096	snark_nonlin	1887436800
GPT-2 small T=4096	4096	stark_arithmetic	54767124480
GPT-2 small T=4096	4096	stark_softmax	201326592
GPT-2 small T=4096	4096	stark_norm	6291456
GPT-2 small T=4096	4096	stark_nonlin	12582912
Llama-2-7B style T=4096	4096	snark_arithmetic	962106228736
Llama-2-7B style T=4096	4096	snark_softmax	161061273600
Llama-2-7B style T=4096	4096	snark_norm	1006632960
Llama-2-7B style T=4096	4096	snark_nonlin	10066329600
Llama-2-7B style T=4096	4096	stark_arithmetic	962106228736
Llama-2-7B style T=4096	4096	stark_softmax	536870912
Llama-2-7B style T=4096	4096	stark_norm	33554432
Llama-2-7B style T=4096	4096	stark_nonlin	67108864
Llama-2-7B style T=32768	32768	snark_arithmetic	15393431224320
Llama-2-7B style T=32768	32768	snark_softmax	10307921510400
Llama-2-7B style T=32768	32768	snark_norm	8053063680
Llama-2-7B style T=32768	32768	snark_nonlin	80530636800
Llama-2-7B style T=32768	32768	stark_arithmetic	15393431224320
Llama-2-7B style T=32768	32768	stark_softmax	34359738368
Llama-2-7B style T=32768	32768	stark_norm	268435456
Llama-2-7B style T=32768	32768	stark_nonlin	536870912
