mutation	surface	baseline_result	mutated_accepted	rejected	rejection_layer	error
source_feasibility_file_hash_drift	source_feasibility_evidence	BOUNDED_NO_GO	False	True	source_feasibility_evidence	source feasibility file_sha256 mismatch
source_feasibility_payload_hash_drift	source_feasibility_evidence	BOUNDED_NO_GO	False	True	source_feasibility_evidence	source feasibility payload_sha256 mismatch
aggregation_target_commitment_drift	nested_verifier_contract	BOUNDED_NO_GO	False	True	nested_verifier_contract	nested verifier contract mismatch
input_block_receipt_commitment_drift	nested_verifier_contract	BOUNDED_NO_GO	False	True	nested_verifier_contract	nested verifier contract mismatch
verifier_domain_drift	nested_verifier_contract	BOUNDED_NO_GO	False	True	nested_verifier_contract	nested verifier contract mismatch
public_instance_commitment_drift	nested_verifier_contract	BOUNDED_NO_GO	False	True	nested_verifier_contract	nested verifier contract mismatch
proof_native_parameter_commitment_drift	nested_verifier_contract	BOUNDED_NO_GO	False	True	nested_verifier_contract	nested verifier contract mismatch
statement_commitment_drift	nested_verifier_contract	BOUNDED_NO_GO	False	True	nested_verifier_contract	nested verifier contract mismatch
selected_slice_version_drift	nested_verifier_contract	BOUNDED_NO_GO	False	True	nested_verifier_contract	nested verifier contract mismatch
selected_slice_source_hash_drift	nested_verifier_contract	BOUNDED_NO_GO	False	True	nested_verifier_contract	nested verifier contract mismatch
selected_slice_removed	nested_verifier_contract	BOUNDED_NO_GO	False	True	nested_verifier_contract	nested verifier contract mismatch
selected_slice_duplicated	nested_verifier_contract	BOUNDED_NO_GO	False	True	nested_verifier_contract	nested verifier contract mismatch
selected_slice_reordered	nested_verifier_contract	BOUNDED_NO_GO	False	True	nested_verifier_contract	nested verifier contract mismatch
minimum_slice_check_count_drift	nested_verifier_contract	BOUNDED_NO_GO	False	True	nested_verifier_contract	nested verifier contract mismatch
nested_verifier_contract_commitment_drift	nested_verifier_contract_commitment	BOUNDED_NO_GO	False	True	nested_verifier_contract_commitment	nested verifier contract commitment mismatch
nested_verifier_claim_true_without_artifact	backend_attempt	BOUNDED_NO_GO	False	True	backend_attempt	nested verifier proof claimed without a checked backend artifact
pcd_accumulator_claim_true_without_artifact	backend_attempt	BOUNDED_NO_GO	False	True	backend_attempt	PCD accumulator claimed without a checked backend artifact
invented_outer_backend_artifact	backend_attempt	BOUNDED_NO_GO	False	True	backend_attempt	outer backend artifact supplied to no-go contract gate
first_blocker_removed	backend_attempt	BOUNDED_NO_GO	False	True	backend_attempt	first backend blocker mismatch
result_changed_to_go	parser_or_schema	BOUNDED_NO_GO	False	True	parser_or_schema	result mismatch
