shared_execution_proof_bytes	90432
gemma_proof_json_bytes	734065
single_interval_explicit_json_bytes	1031675
single_interval_folded_json_bytes	4296
single_interval_richer_family_json_bytes	2114
multi_interval_explicit_json_bytes	1036298
folded_multi_interval_json_bytes	5214
naive_single_interval_explicit_duplication_json_bytes	4126700
multi_interval_vs_naive_explicit_duplication_bytes_saved	3090402
explicit_vs_folded_multi_bytes_saved	1031084
folded_multi_interval_ratio	0.005031
total_intervals	4
interval_total_slices	4
token_position_start	0
token_position_stride	1
start_block_index	2
terminal_token_position	3
terminal_block_index	5
total_folded_interval_groups	2
phase99_interval_members_commitment	e99d5695bf803588d377bf23ad23bc79dd600a0fb3416496287edb65d7ee3a65
phase1015_folded_interval_group_sequence_commitment	dbec28677523b1d46adcc66c167c4d9d5ee17d3fd5709e8811050c5e96b6b80c
phase1015_accumulation_handoff_commitment	c0121c799edfd7bc06fbd5037fc0950c4ae90281779353230677018182f7fbb2
