mutation	surface	baseline_result	mutated_accepted	rejected	rejection_layer	error_code
source_accumulator_file_hash_drift	source_accumulator	GO	False	True	source_accumulator	source_accumulator_file_hash_drift
source_accumulator_payload_hash_drift	source_accumulator	GO	False	True	source_accumulator	source_accumulator_payload_hash_drift
source_accumulator_result_drift	source_accumulator	GO	False	True	source_accumulator	source_accumulator_result_drift
source_accumulator_claim_boundary_drift	source_accumulator	GO	False	True	source_accumulator	source_accumulator_claim_boundary_drift
source_accumulator_commitment_drift	source_accumulator	GO	False	True	source_accumulator	source_accumulator_commitment_drift
compressed_artifact_commitment_drift	compressed_artifact	GO	False	True	compressed_artifact	compressed_artifact_commitment_drift
compressed_artifact_claim_boundary_changed_to_recursive	compressed_artifact	GO	False	True	compressed_artifact	compressed_artifact_claim_boundary_changed_to_recursive
compressed_public_target_commitment_drift	compressed_public_inputs	GO	False	True	compressed_public_inputs	compressed_public_target_commitment_drift
compressed_selected_statement_drift	compressed_public_inputs	GO	False	True	compressed_public_inputs	compressed_selected_statement_drift
compressed_selected_source_hash_drift	compressed_public_inputs	GO	False	True	compressed_public_inputs	compressed_selected_source_hash_drift
compressed_selected_public_instance_drift	compressed_public_inputs	GO	False	True	compressed_public_inputs	compressed_selected_public_instance_drift
compressed_selected_parameter_commitment_drift	compressed_public_inputs	GO	False	True	compressed_public_inputs	compressed_selected_parameter_commitment_drift
compressed_verifier_domain_drift	compressed_public_inputs	GO	False	True	compressed_public_inputs	compressed_verifier_domain_drift
compressed_backend_version_drift	compressed_public_inputs	GO	False	True	compressed_public_inputs	compressed_backend_version_drift
compressed_source_accumulator_commitment_drift	compressed_public_inputs	GO	False	True	compressed_public_inputs	compressed_source_accumulator_commitment_drift
compressed_slice_removed	compressed_transcript	GO	False	True	compressed_transcript	compressed_slice_removed
compressed_slice_duplicated	compressed_transcript	GO	False	True	compressed_transcript	compressed_slice_duplicated
compressed_slice_reordered	compressed_transcript	GO	False	True	compressed_transcript	compressed_slice_reordered
compressed_slice_row_count_drift	compressed_transcript	GO	False	True	compressed_transcript	compressed_slice_row_count_drift
compression_ratio_relabeling	compression_metrics	GO	False	True	compression_metrics	compression_ratio_relabeling
verifier_handle_commitment_drift	verifier_handle	GO	False	True	verifier_handle	verifier_handle_commitment_drift
verifier_handle_claim_boundary_changed_to_recursive	verifier_handle	GO	False	True	verifier_handle	verifier_handle_claim_boundary_changed_to_recursive
verifier_handle_artifact_commitment_drift	verifier_handle	GO	False	True	verifier_handle	verifier_handle_artifact_commitment_drift
verifier_handle_missing_required_public_input	verifier_handle	GO	False	True	verifier_handle	verifier_handle_missing_required_public_input
recursive_outer_proof_claimed	recursive_or_pcd_status	GO	False	True	recursive_or_pcd_status	recursive_outer_proof_claimed
pcd_outer_proof_claimed	recursive_or_pcd_status	GO	False	True	recursive_or_pcd_status	pcd_outer_proof_claimed
recursive_proof_metric_smuggled	recursive_or_pcd_status	GO	False	True	recursive_or_pcd_status	recursive_proof_metric_smuggled
recursive_blocker_removed	recursive_or_pcd_status	GO	False	True	recursive_or_pcd_status	recursive_blocker_removed
decision_changed_to_no_go	parser_or_schema	GO	False	True	parser_or_schema	decision_changed_to_no_go
result_changed_to_no_go	parser_or_schema	GO	False	True	parser_or_schema	result_changed_to_no_go
compression_result_changed_to_no_go	parser_or_schema	GO	False	True	parser_or_schema	compression_result_changed_to_no_go
recursive_result_changed_to_go	parser_or_schema	GO	False	True	parser_or_schema	recursive_result_changed_to_go
non_claims_removed	parser_or_schema	GO	False	True	parser_or_schema	non_claims_removed
validation_command_drift	parser_or_schema	GO	False	True	parser_or_schema	validation_command_drift
