mutation	surface	baseline_accepted	mutated_accepted	rejected	rejection_layer	error
attention_output_commitment_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
circuit_artifact_hash_relabeling	artifact_binding	True	False	True	artifact_binding	circuit_artifact_sha256 mismatch
embedded_artifact_map_relabeling	artifact_binding	True	False	True	artifact_binding	receipt artifacts mismatch
embedded_input_relabeling	artifact_binding	True	False	True	artifact_binding	receipt input mismatch
field_entry_label_relabeling	public_signal_binding	True	False	True	statement_policy	public_signal_field_entries mismatch
field_entry_value_relabeling	public_signal_binding	True	False	True	statement_policy	public_signal_field_entries mismatch
input_artifact_hash_relabeling	artifact_binding	True	False	True	artifact_binding	input_artifact_sha256 mismatch
input_commitment_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
model_config_commitment_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
next_kv_cache_commitment_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
non_claims_removed	parser_or_schema	True	False	True	parser_or_schema	non claims mismatch
prior_kv_cache_commitment_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
proof_commitment_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
proof_generation_time_metric_smuggled	receipt_metrics	True	False	True	parser_or_schema	receipt keys mismatch: missing=[] extra=['receipt_metrics']
proof_hash_relabeling	artifact_binding	True	False	True	artifact_binding	proof hash mismatch
proof_size_metric_smuggled	receipt_metrics	True	False	True	parser_or_schema	receipt keys mismatch: missing=[] extra=['receipt_metrics']
proof_status_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
public_instance_commitment_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
public_signal_hash_relabeling	public_signal_binding	True	False	True	public_signal_binding	public signals hash mismatch
public_signal_relabeling	public_signal_binding	True	False	True	artifact_binding	receipt public signals mismatch
receipt_commitment_relabeling	receipt_commitment	True	False	True	receipt_commitment	receipt_commitment mismatch
score_trace_commitment_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
selected_position_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
setup_commitment_relabeling	setup_binding	True	False	True	setup_binding	setup commitment mismatch
source_file_hash_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
source_model_id_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
source_payload_hash_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
source_proof_system_version_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
source_statement_commitment_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
source_statement_kind_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
source_verifier_domain_relabeling	statement_policy	True	False	True	statement_policy	source_contract mismatch
statement_commitment_relabeling	statement_commitment	True	False	True	statement_commitment	statement_commitment mismatch
unknown_statement_field_added	parser_or_schema	True	False	True	parser_or_schema	statement keys mismatch: missing=[] extra=['unexpected']
unknown_top_level_field_added	parser_or_schema	True	False	True	parser_or_schema	receipt keys mismatch: missing=[] extra=['unexpected']
validation_command_drift	parser_or_schema	True	False	True	parser_or_schema	receipt keys mismatch: missing=[] extra=['validation_commands']
verification_key_file_hash_relabeling	artifact_binding	True	False	True	artifact_binding	verification_key_file_sha256 mismatch
verification_key_hash_relabeling	artifact_binding	True	False	True	artifact_binding	verification key canonical hash mismatch
verifier_domain_relabeling	domain_or_version_allowlist	True	False	True	domain_or_version_allowlist	verifier_domain mismatch
verifier_time_metric_smuggled	receipt_metrics	True	False	True	parser_or_schema	receipt keys mismatch: missing=[] extra=['receipt_metrics']
