name	kind	classification	exists	required_for_go	rows	bytes	supports_native_outer_claim	reason
rmsnorm_public_rows_inner_stwo_proof	inner_slice_stwo_module	INNER_STWO_SLICE_PROOF_NOT_OUTER_VERIFIER_EXECUTION	True	False	128		False	proves and verifies the selected RMSNorm slice, but does not prove that verifier inside a native outer proof
rmsnorm_projection_bridge_inner_stwo_proof	inner_slice_stwo_module	INNER_STWO_SLICE_PROOF_NOT_OUTER_VERIFIER_EXECUTION	True	False	128		False	proves and verifies the selected bridge slice, but does not prove that verifier inside a native outer proof
two_slice_non_recursive_accumulator	non_recursive_accumulator_evidence	GO_NON_RECURSIVE_ACCUMULATOR_NOT_OUTER_PROOF	True	False	256		False	binds selected statements and source hashes, but does not execute verifier constraints in an outer proof
two_slice_proof_native_transcript_compression	compressed_public_input_contract	GO_TRANSCRIPT_COMPRESSION_NOT_OUTER_PROOF	True	False	256	4435	False	compresses proof-native public inputs; it is not a native outer cryptographic proof object
external_groth16_statement_receipt	external_snark_statement_receipt	GO_EXTERNAL_SNARK_RECEIPT_NOT_NATIVE_STWO	True	False		802	False	proves a statement contract with Groth16; it is external and does not make the selected Stwo verifier checks native
native_d128_block_route_no_go	route_gate_evidence	NO_GO_BLOCK_ROUTE_BLOCKED_BY_TWO_SLICE_OUTER_BACKEND	True	False		4752	False	records the compact package signal and blocks native d128 proof claims until this two-slice backend exists
stwo_dependency_surface	dependency_surface	STWO_PROVER_AVAILABLE_NO_LOCAL_OUTER_VERIFIER_BACKEND	True	False			False	the repository can build native Stwo slice proofs, but has no selected-verifier execution AIR for an outer proof
required_native_two_slice_outer_backend_module	required_backend_module	MISSING_REQUIRED_NATIVE_OUTER_BACKEND	False	True			False	no executable native Stwo backend module exists for the two selected verifier checks
required_native_two_slice_outer_proof_artifact	required_native_proof_artifact	MISSING_REQUIRED_NATIVE_OUTER_PROOF_ARTIFACT	False	True			False	no checked native outer proof artifact exists for the selected two-slice target
required_native_two_slice_outer_verifier_handle	required_native_verifier_handle	MISSING_REQUIRED_NATIVE_OUTER_VERIFIER_HANDLE	False	True			False	no local verifier handle exists for a native two-slice outer proof object
required_native_two_slice_outer_artifact_tests	required_future_backend_test_surface	MISSING_REQUIRED_NATIVE_OUTER_MUTATION_TESTS	False	True			False	a future native GO must include fail-closed relabeling tests for the proof artifact
current_no_go_gate_tests	current_no_go_audit_tests	NO_GO_AUDIT_TESTS_NOT_NATIVE_OUTER_PROOF_TESTS	True	False			False	tests this route classifier and overclaim guardrails, not a future executable native outer proof
