mutation	surface	baseline_result	mutated_accepted	rejected	rejection_layer	error
source_block_receipt_file_hash_drift	source_block_receipt	GO	False	True	source_block_receipt	source block receipt descriptor mismatch
source_block_receipt_payload_hash_drift	source_block_receipt	GO	False	True	source_block_receipt	source block receipt descriptor mismatch
source_block_receipt_result_drift	source_block_receipt	GO	False	True	source_block_receipt	source block receipt descriptor mismatch
source_block_receipt_commitment_drift	source_block_receipt	GO	False	True	source_block_receipt	source block receipt descriptor mismatch
source_statement_commitment_drift	source_block_receipt	GO	False	True	source_block_receipt	source block receipt descriptor mismatch
source_slice_chain_commitment_drift	source_block_receipt	GO	False	True	source_block_receipt	source block receipt descriptor mismatch
source_evidence_manifest_commitment_drift	source_block_receipt	GO	False	True	source_block_receipt	source block receipt descriptor mismatch
accumulator_commitment_drift	accumulator_artifact	GO	False	True	accumulator_artifact	accumulator artifact mismatch
accumulator_claim_boundary_changed_to_recursive	accumulator_artifact	GO	False	True	accumulator_artifact	accumulator claim boundary mismatch
accumulator_block_receipt_commitment_drift	accumulator_artifact	GO	False	True	accumulator_artifact	accumulator block receipt mismatch
accumulator_statement_commitment_drift	accumulator_artifact	GO	False	True	accumulator_artifact	accumulator block receipt mismatch
accumulator_slice_chain_commitment_drift	accumulator_artifact	GO	False	True	accumulator_artifact	accumulator block receipt mismatch
accumulator_evidence_manifest_commitment_drift	accumulator_artifact	GO	False	True	accumulator_artifact	accumulator block receipt mismatch
public_input_block_receipt_commitment_drift	public_inputs	GO	False	True	public_inputs	public inputs mismatch
public_input_statement_commitment_drift	public_inputs	GO	False	True	public_inputs	public inputs mismatch
public_input_slice_chain_commitment_drift	public_inputs	GO	False	True	public_inputs	public inputs mismatch
public_input_evidence_manifest_commitment_drift	public_inputs	GO	False	True	public_inputs	public inputs mismatch
public_input_slice_statement_drift	public_inputs	GO	False	True	public_inputs	public inputs mismatch
public_input_source_hash_drift	public_inputs	GO	False	True	public_inputs	public inputs mismatch
slice_removed	slice_transcript	GO	False	True	verifier_transcript	verifier transcript mismatch
slice_duplicated	slice_transcript	GO	False	True	verifier_transcript	verifier transcript mismatch
slice_reordered	slice_transcript	GO	False	True	verifier_transcript	verifier transcript mismatch
slice_row_count_drift	slice_transcript	GO	False	True	verifier_transcript	verifier transcript mismatch
slice_source_commitment_drift	slice_transcript	GO	False	True	verifier_transcript	verifier transcript mismatch
slice_target_commitment_drift	slice_transcript	GO	False	True	verifier_transcript	verifier transcript mismatch
source_manifest_file_hash_drift	source_evidence_manifest	GO	False	True	source_evidence_manifest	source evidence manifest mismatch
source_manifest_payload_hash_drift	source_evidence_manifest	GO	False	True	source_evidence_manifest	source evidence manifest mismatch
transcript_statement_commitment_drift	source_evidence_manifest	GO	False	True	verifier_transcript	verifier transcript mismatch
transcript_public_instance_commitment_drift	source_evidence_manifest	GO	False	True	verifier_transcript	verifier transcript mismatch
verifier_domain_drift	verifier_transcript	GO	False	True	verifier_transcript	verifier domain mismatch
validator_name_drift	verifier_transcript	GO	False	True	verifier_transcript	verifier transcript mismatch
validator_result_false	verifier_transcript	GO	False	True	verifier_transcript	verifier transcript mismatch
verifier_handle_commitment_drift	verifier_handle	GO	False	True	verifier_handle	verifier handle mismatch
verifier_handle_claim_boundary_changed_to_recursive	verifier_handle	GO	False	True	verifier_handle	verifier handle claim boundary mismatch
verifier_handle_block_receipt_commitment_drift	verifier_handle	GO	False	True	verifier_handle	verifier handle mismatch
verifier_handle_statement_commitment_drift	verifier_handle	GO	False	True	verifier_handle	verifier handle mismatch
verifier_handle_accumulator_commitment_drift	verifier_handle	GO	False	True	verifier_handle	verifier handle mismatch
verifier_handle_missing_required_public_input	verifier_handle	GO	False	True	verifier_handle	verifier handle mismatch
recursive_outer_proof_claimed	recursive_or_pcd_status	GO	False	True	recursive_or_pcd_status	recursive or PCD status mismatch
pcd_outer_proof_claimed	recursive_or_pcd_status	GO	False	True	recursive_or_pcd_status	recursive or PCD status mismatch
recursive_proof_metric_smuggled	recursive_or_pcd_status	GO	False	True	recursive_or_pcd_status	recursive or PCD status mismatch
recursive_blocker_removed	recursive_or_pcd_status	GO	False	True	recursive_or_pcd_status	recursive or PCD status mismatch
decision_changed_to_no_go	parser_or_schema	GO	False	True	parser_or_schema	decision mismatch
result_changed_to_no_go	parser_or_schema	GO	False	True	parser_or_schema	result mismatch
accumulator_result_changed_to_no_go	parser_or_schema	GO	False	True	accumulator_artifact	accumulator result mismatch
recursive_result_changed_to_go	parser_or_schema	GO	False	True	recursive_or_pcd_status	recursive or PCD result mismatch
non_claims_removed	parser_or_schema	GO	False	True	parser_or_schema	non-claims mismatch
validation_command_drift	parser_or_schema	GO	False	True	parser_or_schema	validation commands mismatch
