mutation	surface	baseline_result	mutated_accepted	rejected	rejection_layer	error
source_two_slice_file_hash_drift	source_two_slice_target	GO	False	True	source_two_slice_target	source two-slice file hash mismatch
source_two_slice_payload_hash_drift	source_two_slice_target	GO	False	True	source_two_slice_target	source two-slice payload hash mismatch
source_two_slice_result_drift	source_two_slice_target	GO	False	True	source_two_slice_target	source two-slice result mismatch
source_two_slice_target_commitment_drift	source_two_slice_target	GO	False	True	source_two_slice_target	source two-slice two_slice_target_commitment mismatch
accumulator_commitment_drift	accumulator_artifact	GO	False	True	accumulator_artifact	accumulator artifact mismatch
accumulator_claim_boundary_changed_to_recursive	accumulator_artifact	GO	False	True	accumulator_artifact	accumulator claim boundary mismatch
accumulator_target_commitment_drift	accumulator_artifact	GO	False	True	accumulator_artifact	accumulator artifact mismatch
public_input_target_commitment_drift	public_inputs	GO	False	True	accumulator_artifact	accumulator artifact mismatch
public_input_selected_statement_drift	public_inputs	GO	False	True	accumulator_artifact	accumulator artifact mismatch
public_input_selected_source_hash_drift	public_inputs	GO	False	True	accumulator_artifact	accumulator artifact mismatch
selected_slice_removed	selected_slice_transcript	GO	False	True	accumulator_artifact	accumulator artifact mismatch
selected_slice_duplicated	selected_slice_transcript	GO	False	True	accumulator_artifact	accumulator artifact mismatch
selected_slice_reordered	selected_slice_transcript	GO	False	True	accumulator_artifact	accumulator artifact mismatch
selected_slice_row_count_drift	selected_slice_transcript	GO	False	True	accumulator_artifact	accumulator artifact mismatch
source_file_hash_drift	selected_source_evidence	GO	False	True	accumulator_artifact	accumulator artifact mismatch
source_payload_hash_drift	selected_source_evidence	GO	False	True	accumulator_artifact	accumulator artifact mismatch
source_statement_commitment_drift	selected_source_evidence	GO	False	True	accumulator_artifact	accumulator artifact mismatch
source_public_instance_commitment_drift	selected_source_evidence	GO	False	True	accumulator_artifact	accumulator artifact mismatch
source_target_commitment_drift	selected_source_evidence	GO	False	True	accumulator_artifact	accumulator artifact mismatch
validator_name_drift	verifier_transcript	GO	False	True	accumulator_artifact	accumulator artifact mismatch
validator_result_false	verifier_transcript	GO	False	True	accumulator_artifact	accumulator artifact mismatch
verifier_handle_commitment_drift	verifier_handle	GO	False	True	verifier_handle	verifier handle mismatch
verifier_handle_claim_boundary_changed_to_recursive	verifier_handle	GO	False	True	verifier_handle	verifier handle claim boundary mismatch
verifier_handle_target_commitment_drift	verifier_handle	GO	False	True	verifier_handle	verifier handle mismatch
verifier_handle_accumulator_commitment_drift	verifier_handle	GO	False	True	verifier_handle	verifier handle mismatch
verifier_handle_missing_required_public_input	verifier_handle	GO	False	True	verifier_handle	verifier handle mismatch
recursive_outer_proof_claimed	recursive_or_pcd_status	GO	False	True	recursive_or_pcd_status	recursive outer proof claimed without backend
pcd_outer_proof_claimed	recursive_or_pcd_status	GO	False	True	recursive_or_pcd_status	PCD outer proof claimed without backend
recursive_proof_metric_smuggled	recursive_or_pcd_status	GO	False	True	recursive_or_pcd_status	recursive proof metric supplied before proof backend exists
recursive_blocker_removed	recursive_or_pcd_status	GO	False	True	recursive_or_pcd_status	recursive blocker mismatch
decision_changed_to_no_go	parser_or_schema	GO	False	True	parser_or_schema	decision mismatch
result_changed_to_no_go	parser_or_schema	GO	False	True	parser_or_schema	result mismatch
accumulator_result_changed_to_no_go	parser_or_schema	GO	False	True	accumulator_artifact	accumulator result mismatch
recursive_result_changed_to_go	parser_or_schema	GO	False	True	recursive_or_pcd_status	recursive or PCD result mismatch
non_claims_removed	parser_or_schema	GO	False	True	parser_or_schema	non-claims mismatch
validation_command_drift	parser_or_schema	GO	False	True	parser_or_schema	validation commands mismatch
