metric	value
tensor_native_chain_json_bytes	119566
shared_execution_proof_bytes	90432
gemma_proof_json_bytes	734065
gemma_core_slice_json_bytes	1055612
gemma_richer_slice_json_bytes	1257495
explicit_accumulation_json_bytes	1031675
folded_accumulation_json_bytes	4296
folded_richer_family_json_bytes	2114
explicit_vs_folded_bytes_saved	1027379
explicit_vs_folded_ratio	0.004164
family_delta_vs_folded_bytes	-2182
total_slices	4
bounded_fold_arity	2
total_folded_groups	2
explicit_members_commitment	37da2b237f0ec958061b80cba66cfad729dcc1b0b62e24ffe128dc0884e655fd
folded_group_sequence_commitment	8309d55442270ae95a4d9c193ab481db3d79b36fed6fecda1ceadae8d7f61e1d
folded_richer_family_accumulator_commitment	768088522e2deefe64a8d4920d20c6d5e6d01ddff8dcbb99026da16f6b022b3b
