metric	value
tensor_native_chain_json_bytes	119566
shared_execution_proof_bytes	90432
gemma_proof_json_bytes	734065
gemma_core_slice_json_bytes	1055612
gemma_richer_slice_json_bytes	1257495
repeated_accumulation_json_bytes	1031675
total_slices	4
repeated_token_position	0
start_block_index	2
terminal_block_index	5
naive_repeated_proof_bytes	361728
proof_bytes_saved_vs_naive_duplication	271296
naive_repeated_richer_json_bytes	5029980
accumulation_json_bytes_saved_vs_richer_duplication	3998305
shared_table_registry_commitment	5fbdca3a939c778419112c387775d8f4fbfea70047eb56b709534ab218212920
members_commitment	37da2b237f0ec958061b80cba66cfad729dcc1b0b62e24ffe128dc0884e655fd
