mutation	surface	baseline_result	mutated_accepted	rejected	rejection_layer	error
safe_checkpoint_commit_drift	safe_checkpoint	HARD_NO_GO	False	True	safe_checkpoint	safe checkpoint mismatch
source_contract_path_drift	source_contract_evidence	HARD_NO_GO	False	True	source_contract_evidence	source contract evidence path mismatch
source_contract_file_hash_drift	source_contract_evidence	HARD_NO_GO	False	True	source_contract_evidence	source contract evidence mismatch
source_contract_payload_hash_drift	source_contract_evidence	HARD_NO_GO	False	True	source_contract_evidence	source contract evidence mismatch
source_contract_result_drift	source_contract_evidence	HARD_NO_GO	False	True	source_contract_evidence	source contract evidence mismatch
nested_verifier_contract_commitment_drift	nested_verifier_contract	HARD_NO_GO	False	True	nested_verifier_contract	nested verifier contract commitment mismatch
selected_slice_id_drift	nested_verifier_contract	HARD_NO_GO	False	True	nested_verifier_contract	selected slice ids mismatch
candidate_inventory_status_relabel	candidate_inventory	HARD_NO_GO	False	True	candidate_inventory	candidate inventory mismatch
candidate_inventory_acceptance_relabel	candidate_inventory	HARD_NO_GO	False	True	candidate_inventory	candidate inventory mismatch
candidate_inventory_missing_required_path_removed	candidate_inventory	HARD_NO_GO	False	True	candidate_inventory	candidate inventory mismatch
proof_object_claimed_without_artifact	backend_attempt	HARD_NO_GO	False	True	backend_attempt	proof object claimed without a checked outer backend artifact
verifier_handle_claimed_without_artifact	backend_attempt	HARD_NO_GO	False	True	backend_attempt	verifier handle claimed without a checked outer backend artifact
proof_size_metric_smuggled_before_proof	backend_attempt	HARD_NO_GO	False	True	backend_attempt	proof-size metric supplied before a proof object exists
verifier_time_metric_smuggled_before_proof	backend_attempt	HARD_NO_GO	False	True	backend_attempt	verifier-time metric supplied before a proof object exists
blocked_before_metrics_disabled	backend_attempt	HARD_NO_GO	False	True	backend_attempt	blocked-before-metrics flag must stay true until a proof object exists
missing_backend_feature_removed	backend_attempt	HARD_NO_GO	False	True	backend_attempt	missing backend features mismatch
first_blocker_removed	backend_attempt	HARD_NO_GO	False	True	backend_attempt	first backend blocker mismatch
backend_result_changed_to_go	backend_attempt	HARD_NO_GO	False	True	backend_attempt	backend result mismatch
decision_changed_to_go	parser_or_schema	HARD_NO_GO	False	True	parser_or_schema	decision mismatch
result_changed_to_go	parser_or_schema	HARD_NO_GO	False	True	parser_or_schema	result mismatch
