mutation	surface	baseline_result	mutated_accepted	rejected	rejection_layer	error
source_accumulator_file_hash_drift	source_accumulator	BOUNDED_NO_GO	False	True	source_accumulator	source accumulator descriptor mismatch
source_accumulator_payload_hash_drift	source_accumulator	BOUNDED_NO_GO	False	True	source_accumulator	source accumulator descriptor mismatch
source_accumulator_result_drift	source_accumulator	BOUNDED_NO_GO	False	True	source_accumulator	source accumulator descriptor mismatch
source_accumulator_claim_boundary_changed_to_recursive	source_accumulator	BOUNDED_NO_GO	False	True	source_accumulator	source accumulator descriptor mismatch
two_slice_target_commitment_drift	backend_probe	BOUNDED_NO_GO	False	True	recursive_or_pcd_attempt	backend probe mismatch
accumulator_commitment_drift	backend_probe	BOUNDED_NO_GO	False	True	recursive_or_pcd_attempt	backend probe mismatch
verifier_handle_commitment_drift	backend_probe	BOUNDED_NO_GO	False	True	recursive_or_pcd_attempt	backend probe mismatch
candidate_inventory_acceptance_relabel	candidate_inventory	BOUNDED_NO_GO	False	True	candidate_inventory	candidate inventory mismatch
candidate_inventory_required_artifact_removed	candidate_inventory	BOUNDED_NO_GO	False	True	candidate_inventory	candidate inventory mismatch
candidate_inventory_file_sha256_tampered	candidate_inventory	BOUNDED_NO_GO	False	True	candidate_inventory	candidate inventory mismatch
candidate_inventory_required_token_removed	candidate_inventory	BOUNDED_NO_GO	False	True	candidate_inventory	candidate inventory mismatch
recursive_artifact_claimed_without_artifact	recursive_or_pcd_attempt	BOUNDED_NO_GO	False	True	recursive_or_pcd_attempt	backend probe mismatch
pcd_artifact_claimed_without_artifact	recursive_or_pcd_attempt	BOUNDED_NO_GO	False	True	recursive_or_pcd_attempt	backend probe mismatch
local_verifier_handle_claimed_without_artifact	recursive_or_pcd_attempt	BOUNDED_NO_GO	False	True	recursive_or_pcd_attempt	backend probe mismatch
target_public_input_binding_claimed_without_backend	recursive_or_pcd_attempt	BOUNDED_NO_GO	False	True	recursive_or_pcd_attempt	backend probe mismatch
selected_statement_binding_claimed_without_backend	recursive_or_pcd_attempt	BOUNDED_NO_GO	False	True	recursive_or_pcd_attempt	backend probe mismatch
selected_source_hash_binding_claimed_without_backend	recursive_or_pcd_attempt	BOUNDED_NO_GO	False	True	recursive_or_pcd_attempt	backend probe mismatch
proof_size_metric_smuggled_before_artifact	recursive_or_pcd_attempt	BOUNDED_NO_GO	False	True	recursive_or_pcd_attempt	backend probe mismatch
verifier_time_metric_smuggled_before_artifact	recursive_or_pcd_attempt	BOUNDED_NO_GO	False	True	recursive_or_pcd_attempt	backend probe mismatch
proof_generation_time_metric_smuggled_before_artifact	recursive_or_pcd_attempt	BOUNDED_NO_GO	False	True	recursive_or_pcd_attempt	backend probe mismatch
first_blocker_removed	recursive_or_pcd_attempt	BOUNDED_NO_GO	False	True	recursive_or_pcd_attempt	backend probe mismatch
missing_backend_feature_removed	recursive_or_pcd_attempt	BOUNDED_NO_GO	False	True	recursive_or_pcd_attempt	backend probe mismatch
go_criterion_weakened	recursive_or_pcd_attempt	BOUNDED_NO_GO	False	True	recursive_or_pcd_attempt	backend probe mismatch
recursive_or_pcd_result_changed_to_go	parser_or_schema	BOUNDED_NO_GO	False	True	recursive_or_pcd_attempt	recursive_or_pcd_result mismatch
decision_changed_to_go	parser_or_schema	BOUNDED_NO_GO	False	True	parser_or_schema	decision mismatch
result_changed_to_go	parser_or_schema	BOUNDED_NO_GO	False	True	parser_or_schema	result mismatch
issue_changed	parser_or_schema	BOUNDED_NO_GO	False	True	parser_or_schema	issue mismatch
claim_boundary_changed_to_recursive	parser_or_schema	BOUNDED_NO_GO	False	True	parser_or_schema	claim boundary mismatch
non_claims_removed	parser_or_schema	BOUNDED_NO_GO	False	True	parser_or_schema	non_claims mismatch
validation_command_drift	parser_or_schema	BOUNDED_NO_GO	False	True	parser_or_schema	validation_commands mismatch
unknown_top_level_field_added	parser_or_schema	BOUNDED_NO_GO	False	True	parser_or_schema	top-level payload key set mismatch: missing=[] extra=['invented_recursive_metric']
