mutation	surface	baseline_result	mutated_accepted	rejected	rejection_layer	error
aggregation_target_commitment_drift	aggregation_target_commitment	BOUNDED_NO_GO	False	True	aggregation_target_commitment	aggregation target commitment mismatch
source_block_receipt_file_hash_drift	source_block_receipt_evidence	BOUNDED_NO_GO	False	True	source_block_receipt_evidence	source block receipt file_sha256 mismatch
source_block_receipt_payload_hash_drift	source_block_receipt_evidence	BOUNDED_NO_GO	False	True	source_block_receipt_evidence	source block receipt payload_sha256 mismatch
source_block_receipt_decision_drift	source_block_receipt_evidence	BOUNDED_NO_GO	False	True	source_block_receipt_evidence	source block receipt decision mismatch
block_receipt_commitment_drift	aggregation_target_manifest	BOUNDED_NO_GO	False	True	aggregation_target_manifest	aggregation target manifest mismatch
statement_commitment_drift	aggregation_target_manifest	BOUNDED_NO_GO	False	True	aggregation_target_manifest	aggregation target manifest mismatch
input_commitment_drift	aggregation_target_manifest	BOUNDED_NO_GO	False	True	aggregation_target_manifest	aggregation target manifest mismatch
output_commitment_drift	aggregation_target_manifest	BOUNDED_NO_GO	False	True	aggregation_target_manifest	aggregation target manifest mismatch
range_policy_commitment_drift	aggregation_target_manifest	BOUNDED_NO_GO	False	True	aggregation_target_manifest	aggregation target manifest mismatch
range_policy_public_input_drift	block_receipt_public_inputs	BOUNDED_NO_GO	False	True	block_receipt_public_inputs	block receipt public inputs mismatch
slice_chain_commitment_drift	aggregation_target_manifest	BOUNDED_NO_GO	False	True	aggregation_target_manifest	aggregation target manifest mismatch
evidence_manifest_commitment_drift	aggregation_target_manifest	BOUNDED_NO_GO	False	True	aggregation_target_manifest	aggregation target manifest mismatch
nested_verifier_check_removed	aggregation_target_manifest	BOUNDED_NO_GO	False	True	aggregation_target_manifest	aggregation target manifest mismatch
nested_verifier_check_reordered	aggregation_target_manifest	BOUNDED_NO_GO	False	True	aggregation_target_manifest	aggregation target manifest mismatch
nested_verifier_source_hash_drift	aggregation_target_manifest	BOUNDED_NO_GO	False	True	aggregation_target_manifest	aggregation target manifest mismatch
nested_verifier_statement_drift	aggregation_target_manifest	BOUNDED_NO_GO	False	True	aggregation_target_manifest	aggregation target manifest mismatch
verifier_domain_drift	aggregation_target_manifest	BOUNDED_NO_GO	False	True	aggregation_target_manifest	aggregation target manifest mismatch
required_backend_version_drift	aggregation_target_manifest	BOUNDED_NO_GO	False	True	aggregation_target_manifest	aggregation target manifest mismatch
composition_mutation_count_drift	aggregation_target_manifest	BOUNDED_NO_GO	False	True	aggregation_target_manifest	aggregation target manifest mismatch
candidate_inventory_acceptance_relabel	candidate_inventory	BOUNDED_NO_GO	False	True	candidate_inventory	candidate inventory mismatch
candidate_inventory_file_sha256_tampered	candidate_inventory	BOUNDED_NO_GO	False	True	candidate_inventory	candidate inventory mismatch
candidate_inventory_required_artifact_removed	candidate_inventory	BOUNDED_NO_GO	False	True	candidate_inventory	candidate inventory mismatch
aggregated_proof_claimed_without_artifact	proof_object_attempt	BOUNDED_NO_GO	False	True	proof_object_attempt	aggregated_proof_object_claimed claimed without checked aggregated proof object
recursive_claimed_without_artifact	proof_object_attempt	BOUNDED_NO_GO	False	True	proof_object_attempt	recursive_aggregation_claimed claimed without checked aggregated proof object
pcd_claimed_without_artifact	proof_object_attempt	BOUNDED_NO_GO	False	True	proof_object_attempt	pcd_accumulator_claimed claimed without checked aggregated proof object
verifier_handle_claimed_without_artifact	proof_object_attempt	BOUNDED_NO_GO	False	True	proof_object_attempt	verifier_handle_claimed claimed without checked aggregated proof object
aggregation_target_public_input_claimed_without_proof	proof_object_attempt	BOUNDED_NO_GO	False	True	proof_object_attempt	aggregation_target_commitment_bound_as_public_input claimed without checked aggregated proof object
block_receipt_public_input_claimed_without_proof	proof_object_attempt	BOUNDED_NO_GO	False	True	proof_object_attempt	block_receipt_commitment_bound_as_public_input claimed without checked aggregated proof object
statement_public_input_claimed_without_proof	proof_object_attempt	BOUNDED_NO_GO	False	True	proof_object_attempt	statement_commitment_bound_as_public_input claimed without checked aggregated proof object
range_policy_public_input_claimed_without_proof	proof_object_attempt	BOUNDED_NO_GO	False	True	proof_object_attempt	range_policy_commitment_bound_as_public_input claimed without checked aggregated proof object
invented_aggregated_proof_artifact	proof_object_attempt	BOUNDED_NO_GO	False	True	proof_object_attempt	aggregated proof artifact supplied to no-go feasibility gate
proof_size_metric_smuggled_before_proof	proof_object_attempt	BOUNDED_NO_GO	False	True	proof_object_attempt	proof_size_bytes metric supplied before proof object exists
verifier_time_metric_smuggled_before_proof	proof_object_attempt	BOUNDED_NO_GO	False	True	proof_object_attempt	verifier_time_ms metric supplied before proof object exists
proof_generation_time_metric_smuggled_before_proof	proof_object_attempt	BOUNDED_NO_GO	False	True	proof_object_attempt	proof_generation_time_ms metric supplied before proof object exists
first_blocker_removed	proof_object_attempt	BOUNDED_NO_GO	False	True	proof_object_attempt	first blocker mismatch
missing_backend_feature_removed	proof_object_attempt	BOUNDED_NO_GO	False	True	parser_or_schema	missing backend features mismatch
decision_changed_to_go	parser_or_schema	BOUNDED_NO_GO	False	True	parser_or_schema	decision mismatch
result_changed_to_go	parser_or_schema	BOUNDED_NO_GO	False	True	parser_or_schema	result mismatch
non_claims_removed	parser_or_schema	BOUNDED_NO_GO	False	True	parser_or_schema	non-claims mismatch
validation_command_drift	parser_or_schema	BOUNDED_NO_GO	False	True	parser_or_schema	validation commands mismatch
