row_id	system	dimension_or_scope	backend_family	object_class	evidence_status	metric	value	unit	ratio_vs_d64_checked_rows	ratio_vs_d128_checked_rows	ratio_vs_source_statement_chain	ratio_vs_nanozk_reported	comparison_boundary
local_d64_stwo_receipt_chain_rows	provable-transformer-vm	d64	Stwo native proof-backed receipt chain	stwo_native_receipt_chain_rows	locally_checked_artifact	checked rows	49600	rows					row-count scaling evidence only; not one compressed proof object
local_d128_stwo_receipt_chain_rows	provable-transformer-vm	d128	Stwo native proof-backed receipt chain	stwo_native_receipt_chain_rows	locally_checked_artifact	checked rows	197504	rows	3.981935				row-count scaling evidence only; not proof-size benchmark evidence
local_d128_attention_statement_chain_rows	provable-transformer-vm	d128 attention-derived block surface	source-backed statement chain over Stwo-derived block receipts	source_statement_chain_rows	locally_checked_artifact	statement-chain rows	199553	rows	4.023246	1.010374			statement-binding shape evidence; not proof bytes
local_d128_source_statement_chain_bytes	provable-transformer-vm	d128 attention-derived block surface	source-backed statement chain over Stwo-derived block receipts	source_statement_chain_artifact_bytes	locally_checked_artifact	source artifact bytes	14624	bytes				2.11942	source artifact size; not a proof object
local_d128_compressed_statement_chain_bytes	provable-transformer-vm	d128 attention-derived block surface	compressed transcript handle over source-backed statement chain	compressed_statement_chain_artifact_bytes	locally_checked_artifact	compressed artifact bytes	2559	bytes			0.174986	0.37087	compressed transcript handle; not a proof object
local_d64_external_snark_statement_receipt_proof_bytes	provable-transformer-vm	d64	external snarkjs/Groth16 statement receipt	external_snark_statement_receipt_proof_bytes	locally_checked_artifact	proof bytes	806	bytes				0.116812	external SNARK receipt; not Stwo-native recursion
local_d128_external_snark_statement_receipt_proof_bytes	provable-transformer-vm	d128 attention-derived block surface	external snarkjs/Groth16 statement receipt	external_snark_statement_receipt_proof_bytes	locally_checked_artifact	proof bytes	807	bytes				0.116957	external SNARK receipt; not a native d128 block proof
local_d128_package_without_vk_bytes	provable-transformer-vm	d128 attention-derived block surface	compressed statement chain plus external SNARK proof and public signals	verifier_facing_package_without_vk_bytes	locally_checked_artifact	package bytes without VK	4752	bytes			0.324945	0.688696	interesting compact package signal; not matched proof-size evidence
local_d128_package_with_vk_bytes	provable-transformer-vm	d128 attention-derived block surface	compressed statement chain plus external SNARK proof, public signals, and VK	verifier_facing_package_with_vk_bytes	locally_checked_artifact	package bytes with VK	10608	bytes			0.725383	1.537391	self-contained package accounting; not matched proof-size evidence
external_nanozk_reported_transformer_block_proof_bytes	NANOZK	GPT-2-scale d768 block	Halo2 IPA SNARK plus lookups	paper_reported_external_proof_bytes	paper_reported_not_locally_reproduced	reported proof bytes	6900	decimal_bytes					external context only; not locally reproduced
missing_native_d128_block_proof_object	provable-transformer-vm	d128	Stwo native aggregated transformer-block proof	missing_native_stark_block_proof_bytes	missing_required_for_matched_benchmark	native proof bytes		bytes					required before any NANOZK proof-size comparison claim
